,year,month,airline
918,1987,May,Garuda Indonesia
919,1987,May,Douglas
920,1987,May,American Eagle
921,1987,June,LOT
922,1987,June,Air New Zealand
923,1987,July,Boeing
924,1987,July,Aeroflot
925,1987,August,Philippine Airlines
926,1987,August,Hawker Siddeley
927,1987,October,Air Afrique
928,1987,November,Douglas
929,1987,November,Belize Air International
930,1987,November,Boeing
931,1987,December,Northwest Airlines
932,1987,December,Douglas
933,1987,December,Thai Airways
934,1987,December,Boeing
935,1987,December,Aero
936,1988,January,Condor Flugdienst
937,1988,January,Boeing
938,1988,January,China Southwest Airlines
939,1988,January,Aeroflot
940,1988,January,Trans-Colorado Airlines
941,1988,February,Aeroflot
942,1988,February,American Airlines
943,1988,February,Douglas
944,1988,February,Nürnberger Flugdienst
945,1988,March,AVAir
946,1988,March,Boeing
947,1988,March,Talia Airways
948,1988,April,Comair
949,1988,April,TAT
950,1988,May,Avianca
951,1988,May,Boeing
952,1988,June,Kuwait Airways
953,1988,June,Boeing
954,1988,July,Aloha Airlines
955,1988,July,Boeing
956,1988,August,Widerøe
957,1988,August,TACA
958,1988,September,Boeing
959,1988,September,Austral Líneas Aéreas
960,1988,September,Douglas
961,1988,October,Air France
962,1988,October,Iran Air
963,1988,November,British International Helicopters
964,1988,December,CAAC
965,1989,January,British Midland
966,1989,February,Boeing
967,1989,February,Boeing
968,1989,February,Independent Air
969,1989,March,Boeing
970,1989,March,Flying Tiger Line
971,1989,March,Boeing
972,1989,June,United Airlines
973,1989,June,Boeing
974,1989,July,Air Ontario
975,1989,July,Evergreen International Airlines
976,1989,July,Douglas
977,1989,August,Transbrasil
978,1989,August,Boeing
979,1989,August,Surinam Airways
980,1989,September,Douglas
981,1989,September,Interflug
982,1989,September,United Airlines
983,1989,September,Douglas
984,1989,September,Philippine Airlines
985,1989,October,Korean Air
986,1989,October,Douglas
987,1989,October,Olympic Aviation
988,1989,November,China Eastern Airlines
989,1989,November,Pakistan International Airlines
990,1989,November,Cubana de Aviación
991,1989,December,Varig
992,1989,December,Boeing
993,1990,January,Aeroflot
994,1990,January,SANSA
995,1990,January,Avianca
996,1990,February,Boeing
997,1990,April,Indian Airlines
998,1990,April,Atlantic Southeast Airlines
999,1990,May,Cessna
1000,1990,May,Cessna
1001,1990,June,Widerøe
1002,1990,August,Philippine Airlines
1003,1990,September,Boeing
1004,1990,October,Aerolift Philippines
1005,1990,November,British Airways
1006,1990,November,British Airways
1007,1990,December,Boeing
1008,1991,February,USAir
1009,1991,February,Boeing
1010,1991,February,SkyWest Airlines
1011,1991,March,Boeing
1012,1991,March,Ryan International Airlines
1013,1991,March,Douglas
1014,1991,March,LAN Chile
1015,1991,April,United Airlines
1016,1991,May,Boeing
1017,1991,May,Aeropostal Alas de Venezuela
1018,1991,July,Douglas
1019,1991,July,Aeroflot
1020,1991,August,Singapore Airlines
1021,1991,September,Atlantic Southeast Airlines
1022,1991,November,Aeroflot
1023,1991,December,Lauda Air
1024,1991,December,Boeing
1025,1992,January,CommutAir
1026,1992,January,Air Inter
1027,1992,February,Air Transport International
1028,1992,March,Douglas
1029,1992,March,USAir
1030,1992,June,Trans-Air Service
1031,1992,June,Boeing
1032,1992,June,Copa Airlines
1033,1992,July,Boeing
1034,1992,July,American Eagle
1035,1992,July,CASA C-212 Aviocar
1036,1992,July,GP Express
1037,1992,July,Transair
1038,1992,August,Mandala Airlines
1039,1992,September,TWA
1040,1992,September,Lockheed
1041,1992,October,Thai Airways
1042,1992,October,China General Aviation
1043,1992,November,Aeroflot
1044,1992,November,Vietnam Airlines
1045,1992,December,Pakistan International Airlines
1046,1992,December,El Al
1047,1993,January,Lufthansa
1048,1993,February,Iran Air
1049,1993,February,Lufthansa
1050,1993,March,Palair Macedonian Airlines
1051,1993,March,Japan Air Lines
1052,1993,April,Boeing
1053,1993,April,China Eastern Airlines
1054,1993,April,Douglas
1055,1993,April,American Airlines
1056,1993,April,Douglas
1057,1993,May,Japan Air System
1058,1993,July,Douglas
1059,1993,July,Indian Airlines
1060,1993,July,Boeing
1061,1993,August,Indian Airlines
1062,1993,August,Boeing
1063,1993,August,SAM Colombia
1064,1993,August,Boeing
1065,1993,September,Merpati Nusantara
1066,1993,September,China Northwest Airlines
1067,1993,September,Asiana Airlines
1068,1993,October,Boeing
1069,1993,October,Boeing
1070,1993,November,American International Airways
1071,1993,November,Sakha Avia
1072,1993,November,Tajik Air
1073,1993,December,Everest Air
1074,1993,December,Lufthansa
1075,1994,January,Baikal Airlines
1076,1994,January,United Express
1077,1994,February,Pulkovo Aviation Enterprise
1078,1994,March,Sahara Airlines
1079,1994,March,Boeing
1080,1994,April,Aeroflot
1081,1994,April,Aeroflot
1082,1994,April,KLM
1083,1994,April,Federal Express
1084,1994,June,Douglas
1085,1994,June,FedEx
1086,1994,July,South Pacific Airmotive
1087,1994,July,Douglas
1088,1994,July,China Airlines
1089,1994,August,China Northwest Airlines
1090,1994,August,Airbus Industrie
1091,1994,September,Air Mauritanie
1092,1994,September,USAir
1093,1994,September,Douglas
1094,1994,October,Alas Chiricanas
1095,1994,October,Korean Air
1096,1994,November,Royal Air Maroc
1097,1994,November,USAir
1098,1994,December,Boeing
1099,1994,December,Boeing
1100,1994,December,Oriental Airlines
1101,1994,December,Cheremshanka Airlines
1102,1994,December,Iran Aseman Airlines
1103,1994,December,American Eagle
1104,1995,January,Intercontinental de Aviación
1105,1995,January,Douglas
1106,1995,January,Bristow Helicopters
1107,1995,February,TransAsia Airways
1108,1995,February,Antonov Design Bureau
1109,1995,March,Air Transport International
1110,1995,May,Douglas
1111,1995,June,TAROM
1112,1995,June,Knight Air
1113,1995,June,Ansett New Zealand
1114,1995,August,All Nippon Airways
1115,1995,August,Boeing
1116,1995,August,Harka Air Services
1117,1995,September,Airstan
1118,1995,September,Airstan
1119,1995,September,Aviateca
1120,1995,October,Boeing
1121,1995,November,Atlantic Southeast Airlines
1122,1995,November,Malaysia Airlines
1123,1995,December,Kish Air
1124,1995,December,Boeing
1125,1995,December,MIAT
1126,1995,December,United Airlines
1127,1995,December,Boeing
1128,1995,December,American Airlines
1129,1995,December,Douglas
1130,1995,December,Nigeria Airways
1131,1996,January,Moscow Airways
1132,1996,February,LAC Colombia
1133,1996,February,Douglas
1134,1996,February,Birgenair
1135,1996,May,Boeing
1136,1996,June,Faucett
1137,1996,June,Boeing
1138,1996,July,ValuJet
1139,1996,July,Douglas
1140,1996,August,Eastwind Airlines
1141,1996,August,Boeing
1142,1996,September,Garuda Indonesia
1143,1996,September,Douglas
1144,1996,September,Delta Air Lines
1145,1996,October,Douglas
1146,1996,October,TWA
1147,1996,October,Boeing
1148,1996,October,Spair Airlines
1149,1996,November,Vnukovo Airlines
1150,1996,November,Hemus Air
1151,1996,November,FedEx
1152,1996,November,Douglas
1153,1996,December,Douglas
1154,1996,December,Dutch Dakota Association
1155,1997,January,Comair
1156,1997,March,Stavropolskaya Aktsionernaya Avia
1157,1997,April,Merpati Nusantara
1158,1997,May,China Southern Airlines
1159,1997,July,Boeing
1160,1997,July,Sempati Air
1161,1997,July,Air Littoral
1162,1997,August,FedEx
1163,1997,August,Douglas
1164,1997,August,Korean Air
1165,1997,September,Boeing
1166,1997,September,Fine Air
1167,1997,September,Douglas
1168,1997,September,Formosa Airlines
1169,1997,October,Vietnam Airlines
1170,1997,November,Royal Brunei Airlines
1171,1997,December,Helikopter Service
1172,1997,December,Garuda Indonesia
1173,1997,December,Austral Líneas Aéreas
1174,1997,December,Douglas
1175,1997,December,Virgin Atlantic
1176,1998,February,Cebu Pacific
1177,1998,February,Douglas
1178,1998,March,China Airlines
1179,1998,March,Formosa Airlines
1180,1998,March,Ariana Afghan Airlines
1181,1998,April,Boeing
1182,1998,May,Philippine Airlines
1183,1998,May,Air France
1184,1998,May,Boeing
1185,1998,June,TAME
1186,1998,July,Occidental Petroleum
1187,1998,July,Boeing
1188,1998,August,Boeing
1189,1998,August,Pakistan International Airlines
1190,1998,August,MIAT
1191,1998,September,Propair
1192,1998,September,Proteus Airlines
1193,1998,September,Indian Airlines
1194,1998,October,Korean Air
1195,1998,December,Boeing
1196,1998,December,Myanma Airways
1197,1999,February,China Southwest Airlines
1198,1999,February,Alitalia
1199,1999,March,Korean Air
1200,1999,April,Douglas
1201,1999,April,Turkish Airlines
1202,1999,April,Boeing
1203,1999,June,Avianca
1204,1999,July,Korean Air
1205,1999,July,Douglas
1206,1999,July,American Airlines
1207,1999,August,Douglas
1208,1999,August,Hinduja Cargo Services
1209,1999,August,Boeing
1210,1999,August,All Nippon Airways
1211,1999,September,Boeing
1212,1999,September,Air Fiji
1213,1999,September,TACV
1214,1999,October,China Airlines
1215,1999,October,Douglas
1216,1999,November,Uni Air
1217,1999,November,Douglas
1218,1999,December,LAPA
1219,1999,December,Boeing
1220,1999,December,Necon Air
1221,1999,December,Britannia Airways
1222,1999,December,Boeing
1223,1999,December,Qantas
1224,2000,January,Crossair
1225,2000,January,Avisto
1226,2000,January,Kenya Airways
1227,2000,January,Alaska Airlines
1228,2000,February,Emery Worldwide Airlines
1229,2000,March,Southwest Airlines
1230,2000,April,Boeing
1231,2000,May,Air Philippines
1232,2000,May,Boeing
1233,2000,June,Philippine Airlines
1234,2000,July,Whyalla Airlines
1235,2000,July,Wuhan Airlines
1236,2000,July,Malév
1237,2000,July,Royal Jordanian
1238,2000,July,Aerocaribe
1239,2000,July,Hapag-Lloyd
1240,2000,July,Alliance Air
1241,2000,August,Boeing
1242,2000,August,Air France
1243,2000,September,Royal Nepal Airlines
1244,2000,October,Southwest Airlines
1245,2000,October,Boeing
1246,2000,November,Gulf Air
1247,2000,November,Beechcraft 200
1248,2000,December,Lao Aviation
1249,2000,December,Singapore Airlines
1250,2001,January,Yemenia
1251,2001,January,Boeing
1252,2001,January,RUTACA Airlines
1253,2001,February,Douglas
1254,2001,February,Japan Airlines
1255,2001,March,Japan Airlines
1256,2001,March,Douglas
1257,2001,March,Japan Airlines
1258,2001,May,Boeing
1259,2001,July,Iberia
1260,2001,July,Loganair
1261,2001,August,Thai Airways
1262,2001,August,Boeing
1263,2001,August,Air Caraïbes
1264,2001,September,Avjet
1265,2001,September,Avjet
1266,2001,September,Faraz Qeshm Airlines
1267,2001,October,Vladivostok Air
1268,2001,October,Rus
1269,2001,October,Air Transat
1270,2001,November,Blackhawk International Airways
1271,2001,November,Cessna
1272,2001,November,Binter Mediterráneo
1273,2001,December,United Airlines
1274,2002,January,Siberia Airlines
1275,2002,January,Garuda Indonesia
1276,2002,January,Boeing
1277,2002,February,TAME
1278,2002,April,Boeing
1279,2002,May,Iran Air
1280,2002,May,Air China
1281,2002,May,Boeing
1282,2002,May,EAS Airlines
1283,2002,July,EgyptAir
1284,2002,July,Boeing
1285,2002,July,China Northern Airlines
1286,2002,July,Douglas
1287,2002,July,China Airlines
1288,2002,July,Boeing
1289,2002,August,Bashkirian Airlines
1290,2002,August,DHL
1291,2002,September,Boeing
1292,2002,October,Boeing
1293,2002,November,Boeing
1294,2002,November,Swiss International Air Lines
1295,2002,November,Bristow Helicopters
1296,2002,December,FedEx
1297,2002,December,Boeing
1298,2003,January,Air Midwest
1299,2003,January,Turkish Airlines
1300,2003,January,TANS Perú
1301,2003,March,Air Algérie
1302,2003,March,Boeing
1303,2003,May,Air China
1304,2003,May,Ukrainian Cargo Airways
1305,2003,May,Boeing
1306,2003,May,UM Airlines
1307,2003,June,Qantas
1308,2003,July,Boeing
1309,2003,August,Air France
1310,2003,August,Sudan Airways
1311,2003,November,Boeing
1312,2003,December,Tropical Airways
1313,2003,December,Colgan Air
1314,2004,January,Flash Airlines
1315,2004,January,Boeing
1316,2004,February,Uzbekistan Airways
1317,2004,May,Kish Air
1318,2004,June,Rico Linhas Aéreas
1319,2004,August,Gabon Express
1320,2004,October,Hawker Siddeley
1321,2004,October,Air Tahoma
1322,2004,October,MK Airlines
1323,2004,November,Boeing
1324,2004,November,Pinnacle Airlines
1325,2005,February,Kam Air
1326,2005,February,Boeing
1327,2005,March,British Airways
1328,2005,March,Boeing
1329,2005,March,Air Transat
1330,2005,May,Regional Airlines
1331,2005,May,West Caribbean Airways
1332,2005,June,Airwork
1333,2005,July,Lockhart River
1334,2005,August,Aero
1335,2005,August,Transair
1336,2005,August,Lockhart River
1337,2005,August,US Airways
1338,2005,August,Boeing
1339,2005,August,Aer Lingus
1340,2005,September,Equatorial Express
1341,2005,September,Air France
1342,2005,October,Tuninter
1343,2005,December,Copterline
1344,2005,December,Helios Airways
1345,2005,December,Boeing
1346,2005,December,West Caribbean Airways
1347,2006,January,British Midland
1348,2006,February,Boeing
1349,2006,February,Boeing
1350,2006,February,Independent Air
1351,2006,March,Boeing
1352,2006,March,Flying Tiger Line
1353,2006,March,Boeing
1354,2006,June,United Airlines
1355,2006,June,Boeing
1356,2006,July,Air Ontario
1357,2006,July,Evergreen International Airlines
1358,2006,July,Douglas
1359,2006,August,Transbrasil
1360,2006,August,Boeing
1361,2006,August,Surinam Airways
1362,2006,September,Douglas
1363,2006,September,Interflug
1364,2006,September,United Airlines
1365,2006,September,Douglas
1366,2006,September,Philippine Airlines
1367,2006,October,Korean Air
1368,2006,October,Douglas
1369,2006,October,Olympic Aviation
1370,2006,November,China Eastern Airlines
1371,2006,November,Pakistan International Airlines
1372,2006,November,Cubana de Aviación
1373,2006,December,Varig
1374,2006,December,Boeing
1375,2006,February,Partnair
1376,2006,March,UTA
1377,2006,March,Douglas
1378,2006,March,USAir
1379,2006,June,Boeing
1380,2006,June,TAN-SAHSA
1381,2006,July,Boeing
1382,2006,July,China Airlines
1383,2006,July,Boeing
1384,2006,August,Aloha Island Air
1385,2006,August,Korean Air
1386,2006,August,Avianca
1387,2006,September,Boeing
1388,2006,September,Tepper Aviation
1389,2006,September,Lockheed
1390,2006,September,KLM
1391,2006,September,Boeing
1392,2006,October,United Express
1393,2006,October,United Airlines
1394,2006,October,Boeing
1395,2006,November,Air Ontario
1396,2006,November,Evergreen International Airlines
1397,2006,November,Douglas
1398,2006,December,Transbrasil
1399,2006,December,Boeing
1400,2007,January,Aeroflot
1401,2007,January,SANSA
1402,2007,January,Avianca
1403,2007,February,Boeing
1404,2007,April,Indian Airlines
1405,2007,April,Atlantic Southeast Airlines
1406,2007,May,Cessna
1407,2007,May,Cessna
1408,2007,June,Widerøe
1409,2007,August,Philippine Airlines
1410,2007,September,Boeing
1411,2007,October,Aerolift Philippines
1412,2007,November,British Airways
1413,2007,November,British Airways
1414,2007,December,Boeing
1415,2007,January,Faucett
1416,2007,February,Boeing
1417,2007,April,Boeing
1418,2007,April,Xiamen Airlines
1419,2007,May,China Southwest Airlines
1420,2007,May,Boeing
1421,2007,June,China Southern Airlines
1422,2007,August,Boeing
1423,2007,September,Alitalia
1424,2007,October,Douglas
1425,2007,November,Bangkok Airways
1426,2007,November,Northwest Airlines
1427,2007,December,Douglas
1428,2008,January,Transaven
1429,2008,January,British Airways
1430,2008,February,Boeing
1431,2008,February,Boeing
1432,2008,February,Eagle Airways
1433,2008,April,Belavia
1434,2008,April,Santa Bárbara Airlines
1435,2008,April,Blue Wing Airlines
1436,2008,May,Blue Wing Airlines
1437,2008,May,Kata Air Transport
1438,2008,May,Hewa Bora Airways
1439,2008,June,Douglas
1440,2008,July,Kalitta Air
1441,2008,July,Boeing
1442,2008,July,Moskovia Airlines
1443,2008,July,TACA
1444,2008,August,Sudan Airways
1445,2008,August,USA Jet Airlines
1446,2008,August,Douglas
1447,2008,August,Centurion Air Cargo
1448,2008,August,Boeing
1449,2008,September,Kalitta Air
1450,2008,October,Qantas
1451,2008,October,Boeing
1452,2008,November,East Coast Jets
1453,2008,November,Spanair
1454,2008,December,Douglas
1455,2009,January,US Airways
1456,2009,January,Empire Airlines
1457,2009,February,FedEx
1458,2009,February,Manaus Aerotáxi
1459,2009,February,Colgan Air
1460,2009,March,Turkish Airlines
1461,2009,March,Boeing
1462,2009,March,Cougar Helicopters
1463,2009,April,Emirates
1464,2009,April,Emirates
1465,2009,April,FedEx
1466,2009,April,Douglas
1467,2009,June,Bond Offshore Helicopters
1468,2009,June,Aviastar
1469,2009,July,Mimika Air
1470,2009,July,CanJet
1471,2009,July,Boeing
1472,2009,August,Air France
1473,2009,August,Yemenia
1474,2009,August,Southwest Airlines
1475,2009,September,Boeing
1476,2009,September,Caspian Airlines
1477,2009,October,Aria Air
1478,2009,October,Merpati Nusantara
1479,2009,October,Bangkok Airways
1480,2009,November,Airlines PNG
1481,2009,November,Aeroméxico
1482,2009,November,Boeing
1483,2009,December,Airlink
1484,2009,December,Northwest Airlines
1485,2010,January,Taban Air
1486,2010,January,Ethiopian Airlines
1487,2010,March,Boeing
1488,2010,April,Aviastar
1489,2010,April,United Airlines
1490,2010,April,Boeing
1491,2010,April,AeroUnion
1492,2010,May,Merpati Nusantara
1493,2010,May,Boeing
1494,2010,May,Cathay Pacific
1495,2010,June,Afriqiyah Airways
1496,2010,June,Pamir Airways
1497,2010,July,Air India
1498,2010,July,Boeing
1499,2010,August,Emirates
1500,2010,August,CASA C-212 Aviocar
1501,2010,August,Air Service Berlin
1502,2010,August,Douglas
1503,2010,August,Lufthansa
1504,2010,September,Douglas
1505,2010,September,Airblue
1506,2010,September,Katekavia
1507,2010,October,AIRES
1508,2010,November,Boeing
1509,2010,November,Agni Air
1510,2010,November,Henan Airlines
1511,2010,November,Filair
1512,2010,November,UPS Airlines
1513,2010,December,Boeing
1514,2010,December,Emirates
1515,2011,January,Kolavia
1516,2011,January,Iran Air
1517,2011,February,Boeing
1518,2011,February,Manx2
1519,2011,March,Central American Airways
1520,2011,March,VASO
1521,2011,April,Trans Air Congo
1522,2011,April,Southwest Airlines
1523,2011,April,Boeing
1524,2011,May,Georgian Airways
1525,2011,May,Pawan Hans
1526,2011,June,Merpati Nusantara
1527,2011,June,Sol Líneas Aéreas
1528,2011,July,Lightship Europe
1529,2011,July,RusAir
1530,2011,July,Missinippi Airways
1531,2011,July,Cessna
1532,2011,July,Silk Way Airlines
1533,2011,July,Hewa Bora Airways
1534,2011,July,Boeing
1535,2011,July,Angara Airlines
1536,2011,August,Noar Linhas Aéreas
1537,2011,August,Asiana Airlines
1538,2011,September,Boeing
1539,2011,September,EgyptAir
1540,2011,September,Boeing
1541,2011,September,Caribbean Airlines
1542,2011,October,Boeing
1543,2011,October,Avis-Amur
1544,2011,October,First Air
1545,2011,November,Boeing
1546,2012,February,Katanga Express
1547,2012,March,JetBlue
1548,2012,April,UTair
1549,2012,April,Bhoja Air
1550,2012,May,Boeing
1551,2012,May,Sukhoi Superjet
1552,2012,June,Dornier Do-228
1553,2012,June,Allied Air
1554,2012,June,Boeing
1555,2012,August,Dana Air
1556,2012,September,Douglas
1557,2012,September,Tianjin Airlines
1558,2012,October,Alfa Airlines
1559,2012,November,Petropavlovsk-Kamchatsky Air
1560,2012,December,Sita Air
1561,2012,December,FlyMontserrat
1562,2012,December,Aéro-Service
1563,2012,December,Amazon Sky
1564,2013,January,Transaereo
1565,2013,January,SCAT Airlines
1566,2013,February,South Airlines
1567,2013,March,Compagnie Africaine d'Aviation
1568,2013,March,ACE Air Cargo
1569,2013,April,Helicópteros del Pacifico
1570,2013,April,Lion Air
1571,2013,April,Boeing
1572,2013,May,National Airlines
1573,2013,June,Boeing
1574,2013,July,Nepal Airlines
1575,2013,July,Merpati Nusantara
1576,2013,July,Polar Airlines
1577,2013,July,Asiana Airlines
1578,2013,August,Boeing
1579,2013,August,Boeing
1580,2013,October,Rediske Air
1581,2013,October,Southwest Airlines
1582,2013,November,Boeing
1583,2013,November,UPS Airlines
1584,2013,November,CHC Scotia
1585,2014,February,Nepal Airlines
1586,2014,February,Ethiopian Airlines
1587,2014,March,Boeing
1588,2014,June,Malaysia Airlines
1589,2014,July,Boeing
1590,2014,July,Pakistan International Airlines
1591,2014,July,Malaysia Airlines
1592,2014,August,Boeing
1593,2014,December,TransAsia Airways
1594,2014,December,Air Algérie
1595,2015,February,TransAsia Airways
1596,2015,March,Delta Air Lines
1597,2015,March,Douglas
1598,2015,March,Germanwings
1599,2015,April,Air Canada
1600,2015,April,Carson Air
1601,2015,July,Asiana Airlines
1602,2015,August,Shenzhen Airlines
1603,2015,September,Trigana Air Service
1604,2015,September,Boeing
1605,2015,October,Senegalair
1606,2015,October,British Airways
1607,2015,October,Boeing
1608,2015,November,Aviastar
1609,2015,November,Dynamic Airways
1610,2016,January,West Air Sweden
1611,2016,February,Daallo Airlines
1612,2016,February,Tara Air
1613,2016,February,Air Kasthamandap
1614,2016,March,Air Kasthamandap
1615,2016,March,True Aviation
1616,2016,March,Flydubai
1617,2016,April,Boeing
1618,2016,April,EgyptAir
1619,2016,April,Batik Air
1620,2016,May,Boeing
1621,2016,May,Sunbird Aviation
1622,2016,May,Silk Way Airlines
1623,2016,August,Silk Way Airlines
1624,2016,August,EgyptAir
1625,2016,August,Korean Air
1626,2016,October,Boeing
1627,2016,October,Emirates
1628,2016,October,Boeing
1629,2016,October,ASL Airlines Hungary
1630,2016,November,Boeing
1631,2016,December,Southwest Airlines
1632,2016,December,Boeing
1633,2016,December,Skol Airlines
1634,2017,January,Turkish Airlines
1635,2017,March,Boeing
1636,2017,March,Ameristar Charters
1637,2017,May,Peruvian Airlines
1638,2017,July,Boeing
1639,2017,September,Goma Air
1640,2017,October,Air Canada
1641,2017,November,Air France
1642,2017,December,Valan International
1643,2017,December,Khabarovsk Airlines
1644,2018,January,Pegasus Airlines
1645,2018,February,Boeing
1646,2018,February,Saratov Airlines
1647,2018,February,United Airlines
1648,2018,March,Boeing
1649,2018,April,Iran Aseman Airlines
1650,2018,May,US-Bangla Airlines
1651,2018,May,Southwest Airlines
1652,2018,July,Boeing
1653,2018,July,Sichuan Airlines
1654,2018,July,Cubana de Aviación
1655,2018,August,Boeing
1656,2018,August,Pretoria Convair
1657,2018,August,Air Vanuatu
1658,2018,September,Aeroméxico
1659,2018,September,Ju-Air
1660,2018,September,Horizon Air
1661,2018,October,Horizon Air
1662,2018,November,Xiamen Airlines
1663,2018,November,Boeing
1664,2018,November,UTair
1665,2019,January,Saha Airlines
1666,2019,February,Boeing
1667,2019,February,Atlas Air
1668,2019,March,Boeing
1669,2019,March,Biman Bangladesh Airlines
1670,2019,March,Boeing
1671,2019,May,United Express
1672,2019,May,Laser Aéreo
1673,2019,May,Douglas
1674,2019,May,Ethiopian Airlines
1675,2019,June,Boeing
1676,2019,August,Boeing
1677,2019,October,Miami Air International
1678,2019,October,Boeing
1679,2019,November,Aeroflot
1680,2019,December,Sukhoi Superjet
1681,2020,February,Cebu Pacific
1682,2020,February,Douglas
1683,2020,March,China Airlines
1684,2020,March,Formosa Airlines
1685,2020,March,Ariana Afghan Airlines
1686,2020,April,Boeing
1687,2020,May,Philippine Airlines
1688,2020,May,Air France
1689,2020,May,Boeing
1690,2020,June,TAME
1691,2020,July,Occidental Petroleum
1692,2020,July,Boeing
1693,2020,August,Boeing
1694,2020,August,Pakistan International Airlines
1695,2020,August,MIAT
1696,2020,September,Propair
1697,2020,September,Proteus Airlines
1698,2020,September,Indian Airlines
1699,2020,October,Korean Air
1700,2020,December,Boeing
1701,2020,December,Myanma Airways
1702,2020,February,Cubana de Aviación
1703,2020,February,Swissair
1704,2020,March,Douglas
1705,2020,April,PauknAir
1706,2020,April,Lionair
1707,2020,April,Lignes Aériennes Congolaises
1708,2020,June,Boeing
1709,2020,July,Air Satellite
1710,2020,July,Thai Airways
1711,2020,July,China Southwest Airlines
1712,2020,August,Alitalia
1713,2020,August,Korean Air
1714,2020,August,Douglas
1715,2020,August,Turkish Airlines
1716,2020,September,Boeing
1717,2020,September,Avianca
1718,2020,September,Korean Air
1719,2020,October,Douglas
1720,2020,October,American Airlines
1721,2020,November,Douglas
1722,2020,November,Hinduja Cargo Services
1723,2020,December,Boeing
1724,2020,December,All Nippon Airways
1725,2020,December,Boeing
1726,2020,December,Air Fiji
1727,2020,December,TACV
1728,2020,December,China Airlines
1729,2021,January,Sriwijaya Air
1730,2021,February,Boeing
1731,2021,February,Longtail Aviation
1732,2021,March,Boeing
1733,2021,May,United Airlines
1734,2021,May,Boeing
1735,2021,July,South Sudan Supreme Airlines
1736,2021,July,Key Lime Air
1737,2021,July,Ryanair
1738,2021,September,Boeing
1739,2021,October,Transair
1740,2021,November,Boeing
1741,2021,December,Petropavlovsk-Kamchatsky Air
1742,2022,March,China Eastern Airlines
1743,2022,April,Boeing
1744,2022,May,DHL
1745,2022,May,Aero
1746,2022,June,Boeing
1747,2022,July,Tibet Airlines
1748,2022,September,Tara Air
1749,2022,October,RED Air
1750,2022,November,Douglas
1751,2022,November,Meridian
1752,2023,January,Sea World Helicopters
1753,2023,January,Yeti Airlines
1754,2023,September,Ural Airlines
1755,2023,September,Manaus Aerotaxi
1756,2023,October,Alaska Airlines
1757,2023,October,Horizon Air
1758,2024,January,Japan Airlines
1759,2024,January,Japan Airlines
1760,2024,January,Alaska Airlines
1761,2024,February,Boeing
1762,2024,March,Northwestern Air
1763,2024,March,Air Serbia
1764,2024,May,Safarilink Aviation
1765,2024,July,Cessna
1766,2024,July,Cessna
1767,2024,August,LATAM Airlines
1768,2024,August,Boeing
1769,2024,August,Singapore Airlines
1770,2024,September,Boeing
1771,2024,November,Gazpromavia
1772,2024,November,Sukhoi Superjet
1773,2024,December,Saurya Airlines
1774,2024,December,Voepass
1775,2024,December,Thai Flying Service
1776,2025,January,Air Busan
1777,2025,January,Light Air Services
1778,2025,January,American Eagle
1779,2025,February,Bering Air
1780,2025,February,Cessna
